q	p	scale
1	1	3.220644129e-02
1	2	0.000000000e+00
1	3	1.668333667e-01
1	4	1.625325065e-01
1	5	1.715343069e-01
1	6	1.726345269e-01
1	7	1.651330266e-01
1	8	1.645329066e-01
1	9	1.676335267e-01
1	10	1.738347670e-01
1	11	1.724344869e-01
1	12	1.657331466e-01
1	13	1.693338668e-01
1	14	1.654330866e-01
1	15	1.687337467e-01
1	16	1.583316663e-01
1	17	1.661332266e-01
1	18	1.691338268e-01
1	19	1.668333667e-01
1	20	1.640328066e-01
1	21	1.619323865e-01
1	22	1.682336467e-01
1	23	1.673334667e-01
1	24	1.670334067e-01
1	25	1.658331666e-01
1	26	1.675335067e-01
1	27	1.647329466e-01
1	28	1.697339468e-01
1	29	1.663332667e-01
1	30	1.722344469e-01
1	31	1.694338868e-01
1	32	1.726345269e-01
1	33	1.693338668e-01
1	34	1.659331866e-01
1	35	1.666333267e-01
1	36	1.624324865e-01
1	37	1.697339468e-01
1	38	1.703340668e-01
1	39	1.674334867e-01
1	40	1.667333467e-01
1	41	1.634326865e-01
1	42	1.630326065e-01
1	43	1.607321464e-01
1	44	1.642328466e-01
1	45	1.668333667e-01
1	46	1.657331466e-01
1	47	1.677335467e-01
1	48	1.696339268e-01
1	49	1.649329866e-01
1	50	1.677335467e-01
1	51	1.667333467e-01
1	52	1.645329066e-01
1	53	1.684336867e-01
1	54	1.639327866e-01
1	55	1.648329666e-01
1	56	1.675335067e-01
1	57	1.685337067e-01
1	58	1.671334267e-01
1	59	1.692338468e-01
1	60	1.644328866e-01
1	61	1.666333267e-01
1	62	1.656331266e-01
1	63	1.667333467e-01
1	64	1.675335067e-01
1	65	1.640328066e-01
1	66	1.647329466e-01
1	67	1.684336867e-01
1	68	1.644328866e-01
1	69	1.655331066e-01
1	70	1.644328866e-01
1	71	1.639327866e-01
1	72	1.668333667e-01
1	73	1.670334067e-01
1	74	1.713342669e-01
1	75	1.664332867e-01
1	76	1.736347269e-01
1	77	1.712342468e-01
1	78	1.661332266e-01
1	79	1.620324065e-01
1	80	1.675335067e-01
1	81	1.671334267e-01
1	82	1.627325465e-01
1	83	1.686337267e-01
1	84	1.679335867e-01
1	85	1.675335067e-01
1	86	1.673334667e-01
1	87	1.653330666e-01
1	88	1.712342468e-01
1	89	1.665333067e-01
1	90	1.650330066e-01
1	91	1.696339268e-01
1	92	1.659331866e-01
1	93	1.644328866e-01
1	94	1.690338068e-01
1	95	1.741348270e-01
1	96	1.698339668e-01
1	97	1.698339668e-01
1	98	1.659331866e-01
1	99	1.651330266e-01
1	100	1.709341868e-01
2	1	0.000000000e+00
2	2	4.194838968e-01
2	3	1.660332066e-01
2	4	1.653330666e-01
2	5	1.640328066e-01
2	6	1.642328466e-01
2	7	1.682336467e-01
2	8	1.642328466e-01
2	9	1.653330666e-01
2	10	1.653330666e-01
2	11	1.668333667e-01
2	12	1.660332066e-01
2	13	1.659331866e-01
2	14	1.677335467e-01
2	15	1.709341868e-01
2	16	1.657331466e-01
2	17	1.685337067e-01
2	18	1.640328066e-01
2	19	1.651330266e-01
2	20	1.588317664e-01
2	21	1.669333867e-01
2	22	1.709341868e-01
2	23	1.627325465e-01
2	24	1.678335667e-01
2	25	1.670334067e-01
2	26	1.664332867e-01
2	27	1.621324265e-01
2	28	1.640328066e-01
2	29	1.699339868e-01
2	30	1.661332266e-01
2	31	1.646329266e-01
2	32	1.695339068e-01
2	33	1.641328266e-01
2	34	1.627325465e-01
2	35	1.709341868e-01
2	36	1.660332066e-01
2	37	1.636327265e-01
