x	y	z
-4.948057375e+00	1.641836153e+00	-8.533528125e+00
1.602250760e+00	-8.327781003e+00	5.299137294e+00
-6.949990405e+00	4.422420971e+00	-5.669199778e+00
-8.257259736e+00	-6.802313679e-01	-5.599548816e+00
-9.909545964e-01	-8.157369534e+00	-5.698713124e+00
-5.534980261e+00	-3.866720089e+00	-7.376480819e+00
3.758060765e+00	7.481441109e+00	-5.468548091e+00
5.708001208e+00	-4.172254871e+00	7.071846399e+00
6.019781064e+00	-7.013310321e+00	3.817815380e+00
-2.121133807e+00	6.358022875e+00	-7.421343307e+00
-5.387287843e+00	5.564911412e+00	-6.325258151e+00
-8.727390530e+00	-4.578581404e+00	-1.693885138e+00
-4.295855176e+00	-1.589288165e+00	-8.889307703e+00
7.981282183e+00	5.599563262e+00	2.223516580e+00
7.029004828e+00	-5.286040182e+00	4.759293049e+00
-5.059505308e+00	4.555332085e+00	7.324640307e+00
-8.038449528e+00	1.478325944e+00	-5.761760286e+00
8.356208345e+00	2.319254613e+00	-4.979441750e+00
2.430804187e+00	-5.218938786e+00	-8.176421525e+00
-4.685051352e+00	-7.339989276e+00	-4.916792782e+00
-7.189825972e+00	-4.816203828e+00	-5.011046116e+00
-4.646402122e+00	-4.834374985e+00	-7.418879014e+00
-5.453327317e+00	-8.368729300e+00	-4.749642907e-01
-7.974034305e+00	-4.525635149e-01	6.017471492e+00
-7.296995422e-01	9.702386623e+00	2.308946167e+00
5.725712347e+00	1.362588617e+00	-8.084526602e+00
1.401374699e+00	-8.314652630e+00	5.376123194e+00
6.051493656e+00	7.395081677e+00	-2.948252283e+00
7.003511270e+00	-2.792141993e+00	-6.569229254e+00
-3.390908060e+00	-7.977979804e+00	-4.985336576e+00
-7.443626581e+00	-4.651426146e+00	4.791310690e+00
-4.909105960e+00	5.056739830e+00	7.094368257e+00
-8.973063709e+00	9.463758159e-01	-4.311438332e+00
1.966661582e+00	-8.959590882e+00	3.982207107e+00
-3.254052193e+00	1.446305969e+00	9.344481974e+00
1.521436788e+00	9.829896956e+00	-1.028764274e+00
1.400421321e+00	-9.458851222e+00	2.927277522e+00
-9.154634782e+00	2.833130154e+00	-2.857627607e+00
4.672562595e+00	-4.712965216e+00	7.480315346e+00
-3.133450423e+00	4.973344001e+00	8.089952898e+00
4.933982782e+00	8.025925474e+00	3.352660764e+00
6.960242014e+00	2.907494018e+00	-6.565174000e+00
2.925238630e+00	-6.605241654e+00	6.914749573e+00
-6.335692473e+00	6.632569877e+00	-3.983468052e+00
8.177148207e+00	-4.911129357e+00	-3.002508224e+00
-8.500210508e+00	-5.196758240e+00	-8.603052418e-01
-8.779798458e+00	-1.453465081e+00	-4.560984357e+00
-1.678808049e+00	-5.268112287e+00	8.332382400e+00
-1.647786513e+00	2.606244248e+00	-9.512743586e+00
1.815507210e+00	-6.626567938e+00	-7.265846883e+00
8.871989810e+00	-4.511522990e+00	-9.664145698e-01
-8.998938913e+00	-1.927665158e+00	-3.911931170e+00
-4.302324030e+00	-8.730974570e+00	2.293488825e+00
-3.173947946e+00	8.337458878e-01	-9.446212057e+00
5.074182811e-01	-5.748970706e+00	-8.166508588e+00
3.356441520e+00	9.381260944e+00	-8.521991659e-01
-7.738439983e-01	9.879617136e+00	1.339526302e+00
8.888757934e+00	-9.065811828e-01	4.490889995e+00
-9.399299556e-01	4.656088295e+00	8.799850764e+00
9.596955502e+00	2.706935706e+00	7.556084839e-01
3.328279972e+00	9.290492484e-01	-9.383998078e+00
3.781668906e+00	-8.466141155e+00	3.744787607e+00
-7.578103201e+00	3.351986039e+00	-5.597905096e+00
5.050992779e+00	-8.435291165e+00	-1.825742291e+00
-1.392117440e+00	-9.863319341e+00	8.814423462e-01
-8.992410380e+00	8.036129654e-01	4.300088575e+00
8.206117014e-01	4.391047872e+00	8.946803620e+00
6.232768166e+00	6.353763497e+00	4.558759744e+00
7.931267842e+00	6.090562481e+00	6.252307403e-03
7.075418433e+00	6.727279998e+00	2.163829438e+00
