x	y	z
-9.523541092e+00	-2.723899282e+00	-1.372056037e+00
6.488586374e+00	-5.919417987e+00	-4.781081214e+00
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-8.399297366e+00	4.688505028e+00	-2.733079648e+00
3.593189505e+00	-9.309298466e+00	-6.526494096e-01
3.611566926e+00	-9.308296006e+00	-5.587573804e-01
-2.512768286e+00	-7.538304858e+00	-6.071240023e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
6.773558169e+00	-1.453901386e-01	-7.355118724e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-2.510329291e+00	-7.530987874e+00	-6.081321278e+00
-2.981092661e+00	-8.943277982e+00	3.336295175e+00
3.884575248e+00	-9.144683182e+00	1.133509875e+00
3.153291694e+00	9.459875082e+00	-7.533358662e-01
8.702141802e+00	9.678519589e-01	-4.830733966e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-3.040310202e+00	-9.120930607e+00	2.750479730e+00
4.080994476e+00	-8.041237548e+00	4.322497284e+00
7.337131649e+00	-5.971772501e+00	-3.241054204e+00
6.593834761e+00	-5.934428264e+00	-4.615615270e+00
-6.146038558e+00	5.858261153e+00	5.282706343e+00
6.196717279e+00	-5.868401799e+00	-5.211770840e+00
8.101805207e+00	3.245745536e+00	4.881176938e+00
-1.758560451e+00	-5.275681354e+00	8.311116134e+00
7.827048933e+00	-5.889218337e+00	-2.013557144e+00
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
-7.340513500e+00	5.971586192e+00	3.233731577e+00
-7.091380195e+00	-1.017265575e-02	7.050689572e+00
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-3.680381814e+00	9.296157036e+00	1.904050005e-01
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-2.530964499e+00	-7.592893496e+00	-5.995180320e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
7.252402076e+00	-5.975132404e+00	-3.420593060e+00
8.160049372e+00	-5.719378391e+00	-8.380364288e-01
-9.077161197e+00	-3.002112877e+00	-2.931290310e+00
3.931681407e+00	-9.067629220e+00	1.523148595e+00
9.535184405e+00	2.712114862e+00	1.313275041e+00
-7.858683069e+00	5.878719213e+00	1.918791501e+00
-4.037915200e+00	8.734836473e+00	-2.719903055e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
3.162181295e+00	9.486543885e+00	7.806778224e-02
8.680579250e+00	9.520212714e-01	-4.872494165e+00
-3.140381860e+00	-9.421145579e+00	1.174741569e+00
8.129671163e+00	5.839830629e-01	-5.793738911e+00
-3.061138699e+00	-9.183416097e+00	2.508844088e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
-8.737040567e-01	-2.621112170e+00	-9.610744623e+00
-8.715239878e+00	-9.775340582e-01	4.805103645e+00
2.310218337e+00	6.930655010e+00	-6.828536619e+00
6.652533293e+00	-2.041101531e+00	7.181761993e+00
8.737040567e-01	2.621112170e+00	9.610744623e+00
