x	y	z
8.883084957e+00	-3.146742060e+00	-3.344968768e+00
-4.937613091e+00	8.624852475e+00	1.109908443e+00
-7.676731729e+00	-2.790817561e+00	-5.768806402e+00
2.224883887e+00	9.031890706e+00	3.670809443e+00
-3.578399887e+00	-8.065451923e+00	-4.705692248e+00
-4.758404698e-01	5.131800525e+00	-8.569609047e+00
3.024815069e+00	1.458804787e+00	-9.419255936e+00
3.260068987e+00	6.014755114e-01	-9.434520518e+00
7.884152323e+00	1.415547400e+00	-5.986348445e+00
2.036941011e+00	6.361768207e+00	7.441691783e+00
4.601451755e+00	-4.773196394e+00	-7.486203172e+00
7.026951474e+00	7.088132295e+00	-6.167118860e-01
-8.454338084e+00	1.658799914e+00	-5.076667254e+00
2.251791750e-01	9.347262685e+00	-3.546544040e+00
-3.246800179e+00	6.609370707e+00	-6.765686030e+00
2.166415048e+00	3.496474512e+00	9.114895053e+00
7.722229764e+00	-2.204382456e+00	-5.958847662e+00
7.809852612e-01	2.513749293e+00	9.647337794e+00
9.539310538e+00	-1.061225944e+00	2.806306105e+00
-5.274053854e+00	-6.401013450e+00	5.586714845e+00
1.673017893e+00	-8.973584331e+00	-4.083600787e+00
-2.049287845e+00	6.920415028e+00	6.921580395e+00
2.476443266e+00	-3.591357927e+00	-8.998298561e+00
7.880575296e+00	2.565211998e+00	5.596089743e+00
1.411659712e+00	-7.449888779e+00	-6.519691253e+00
4.295807949e+00	8.303606742e+00	3.549105401e+00
-8.439870905e-01	-1.721567156e+00	9.814473614e+00
5.796029134e+00	-3.382036506e-01	-8.141969330e+00
8.161959950e+00	5.390931607e+00	-2.078525001e+00
-6.212776532e+00	4.752337699e+00	6.230304500e+00
2.587441545e+00	-6.357617861e+00	-7.272265217e+00
5.684789128e+00	6.562520955e+00	-4.961500911e+00
-7.343315108e-02	6.071145710e+00	-7.945803757e+00
6.860587717e+00	5.165231749e+00	-5.123740544e+00
3.297473650e-01	8.478140178e+00	5.292674729e+00
7.334438106e-01	-7.954364090e+00	-6.015825139e+00
1.893642091e+00	5.730926606e+00	-7.973117325e+00
7.303069653e+00	5.400809811e+00	-4.182873058e+00
-2.508393115e+00	9.555796164e+00	-1.547489470e+00
-4.427918930e+00	2.339992885e+00	-8.655516579e+00
6.744020596e+00	3.030982290e+00	6.732854711e+00
5.157454605e+00	-8.518860307e+00	-9.108683052e-01
-4.252981631e+00	1.251368055e+00	-8.963605593e+00
4.703442008e+00	1.587920159e+00	8.680791603e+00
8.980320385e+00	-3.950640684e+00	-1.935531959e+00
-2.526649054e+00	1.758656307e+00	9.514366640e+00
5.982512755e+00	-9.198776176e-01	7.960110948e+00
6.649363859e+00	-4.959533921e+00	5.584709801e+00
1.781126027e+00	-9.586957727e+00	2.217618456e+00
-4.056811153e+00	-3.394082237e+00	-8.486606450e+00
7.362787639e+00	3.790635244e+00	5.605394065e+00
3.173926935e-01	-1.648647337e+00	9.858053755e+00
9.014806590e+00	-4.022705208e-01	4.309459428e+00
-8.996447174e-01	-4.081718939e+00	9.084613910e+00
8.245102981e+00	-2.438703109e+00	5.105977280e+00
3.073572943e-01	-9.228271749e+00	-3.839860937e+00
-3.344727006e+00	8.767006641e+00	3.457223714e+00
-3.872992749e+00	-7.355124966e+00	5.558962485e+00
5.547334234e-01	-3.126477869e+00	9.482478946e+00
5.951862760e+00	-9.762953788e-01	-7.976351109e+00
7.959236282e+00	5.873563289e+00	1.466905620e+00
-7.348551547e+00	-3.648540280e+00	-5.717249688e+00
4.272082007e-01	1.863720245e+00	-9.815499987e+00
4.120911838e+00	2.391257446e-01	-9.108287682e+00
9.170208554e+00	2.638320068e+00	-2.991077114e+00
-2.611866654e+00	3.573815588e+00	8.966938983e+00
6.433372505e+00	-2.164456353e+00	7.343490104e+00
6.574029498e+00	-7.254514095e+00	2.038176000e+00
-7.210540748e+00	-5.372059772e+00	-4.375965714e+00
-1.418095136e+00	7.140566949e+00	-6.855750129e+00
4.890435791e+00	7.415748771e+00	-4.592418528e+00
-1.121753895e+00	8.712657558e+00	-4.778207454e+00
-4.733861002e-01	6.782894242e+00	-7.332683772e+00
6.683993808e+00	7.426374242e+00	-4.161638908e-01
-8.258408671e+00	1.085913117e+00	5.533487050e+00
1.653636748e+00	-9.774017034e+00	1.316843392e+00
-5.714894115e+00	-2.509041565e+00	-7.813110500e+00
6.672223008e+00	5.473610664e+00	5.051833966e+00
1.281000243e-01	-7.865865344e+00	6.173471695e+00
3.492777820e+00	-9.041176906e+00	-2.461223934e+00
-5.834702799e+00	5.694251737e+00	-5.790659755e+00
2.291871289e+00	9.036244911e+00	-3.618508518e+00
-3.902083127e+00	8.419071268e+00	3.727329641e+00
-3.317910720e+00	-7.851510806e+00	5.229268258e+00
4.001450683e-01	-5.545896185e+00	8.311613527e+00
6.394633220e+00	-3.750352411e+00	-6.711447144e+00
5.108489156e+00	8.567513755e+00	7.078464472e-01
-9.232691258e+00	-2.087660253e+00	-3.224761511e+00
-5.237782151e+00	8.397102210e+00	1.433287343e+00
-3.398122577e+00	-1.642656067e+00	9.260369539e+00
9.685443323e+00	-2.291924439e+00	-9.691594313e-01
-4.766214481e+00	1.497741193e+00	-8.662561448e+00
5.051838734e+00	2.257034849e+00	8.329749041e+00
8.495647096e+00	-4.917727676e+00	-1.907861350e+00
-6.935876753e+00	4.738700186e+00	-5.425710480e+00
1.724234268e-01	1.281539043e+00	-9.916043961e+00
9.941353915e+00	2.622696710e-01	1.049141060e+00
-6.676100712e+00	-2.283727672e+00	-7.086202594e+00
5.946400920e+00	7.735053809e+00	2.193002204e+00
-7.527918644e+00	-6.199810760e+00	-2.211964611e+00
-7.192185807e+00	5.995571198e+00	3.510781868e+00
-3.701968290e+00	-7.326768384e+00	5.710857713e+00
2.150765617e+00	-9.470119693e+00	2.385590129e+00
-6.167726929e+00	-5.739559861e+00	-5.386705592e+00
1.000817488e+00	8.197483847e+00	5.639115440e+00
1.876511818e+00	-9.219991301e+00	-3.386807318e+00
-4.748625432e+00	8.553550676e+00	-2.070586231e+00
-7.953171817e+00	6.052236038e+00	-3.427783448e-01
-9.884391161e+00	1.068554050e+00	-1.075641024e+00
-9.296914798e+00	3.266947385e+00	1.701302450e+00
-6.745142866e+00	-3.992792528e+00	-6.209722662e+00
2.716917228e+00	6.801380102e+00	-6.808787667e+00
4.748488846e+00	7.436959409e+00	4.705686818e+00
-4.895861438e-01	-5.279945639e+00	8.478353582e+00
8.011396031e+00	-4.150874840e+00	-4.311353813e+00
-2.137434559e+00	9.725145462e+00	-9.235362759e-01
-9.412252321e+00	2.810145707e+00	-1.874189783e+00
-8.306025621e+00	5.546851305e+00	4.923199911e-01
-8.200739149e+00	-1.278594537e+00	-5.577909414e+00
1.101532394e+00	6.000380434e+00	-7.923513175e+00
2.447052265e+00	1.869340649e+00	9.514068570e+00
9.443711180e+00	-1.452980466e+00	2.950451985e+00
-3.395577686e+00	-4.523822568e+00	8.246519360e+00
8.496741390e+00	-5.219598365e+00	-7.491185846e-01
-2.840253499e+00	6.810527800e-01	9.563949350e+00
9.822675798e+00	-1.354082884e+00	1.296726536e+00
-7.401765766e+00	-3.193996765e+00	-5.917114856e+00
1.267852201e+00	4.277985274e+00	-8.949379464e+00
5.944284974e+00	2.036478384e+00	7.779346499e+00
5.089263072e+00	-4.266126454e+00	7.476601264e+00
6.998461584e+00	-7.102115804e+00	-7.625526612e-01
-8.994684119e+00	2.196983660e+00	3.777422455e+00
-2.623821566e+00	-6.492099678e+00	7.139201787e+00
3.214074139e+00	-4.039829790e+00	8.564432421e+00
8.733577208e+00	-4.229541511e+00	2.415700263e+00
-7.239318363e+00	-6.865680649e+00	6.743136191e-01
-7.158221879e+00	-1.539509829e+00	-6.811003525e+00
3.585466826e+00	5.606855731e+00	7.463752170e+00
6.602720918e+00	-6.754837920e+00	3.282718562e+00
-3.483764947e+00	-5.818396582e+00	-7.349125323e+00
6.362688698e+00	6.996364788e+00	3.250703352e+00
-4.386427711e+00	-7.161551028e+00	-5.428760338e+00
1.333618098e+00	9.840773536e+00	-1.175005953e+00
-5.166968223e+00	1.998960359e+00	-8.325058370e+00
8.623262179e+00	5.008577762e+00	7.439745920e-01
-8.924009602e+00	-2.124606999e+00	3.980966934e+00
-1.840580063e+00	-5.551552225e+00	8.111259638e+00
