x	y	z
9.690935239e-02	4.765471699e-06	-9.999530418e+00
6.622523943e+00	7.190246132e+00	-2.107732711e+00
3.114820792e-01	-8.840422023e+00	-4.663680668e+00
-9.362230167e+00	2.488639102e+00	-2.480992085e+00
-9.597762006e+00	-2.004413585e+00	1.966034245e+00
1.840148622e+00	9.315021505e+00	3.137551180e+00
6.661200743e+00	2.028407955e+00	-7.177323027e+00
-1.623110377e+00	-3.386372721e+00	-9.268116988e+00
-1.641125125e+00	-3.447920853e+00	-9.242215650e+00
7.279190640e+00	-3.166677165e+00	6.081573756e+00
-5.319550716e+00	4.779542108e+00	-6.989875351e+00
-9.858091387e+00	-1.208656437e+00	1.164982324e+00
4.870108101e+00	-8.732803706e+00	-1.420792333e-01
5.954542940e+00	1.314199387e+00	-7.925673368e+00
6.929069142e+00	2.419222140e+00	-6.792301897e+00
-9.669104511e+00	-1.825610203e+00	1.782011600e+00
-1.095196392e+00	-2.026688095e+00	-9.731036955e+00
3.000563785e+00	1.452479517e-01	-9.538108827e+00
-5.313183337e+00	4.779038090e+00	-6.995060955e+00
7.311973905e+00	3.265170387e+00	-5.989465749e+00
-7.546682330e+00	4.305433071e+00	-4.950841533e+00
-1.842232843e+00	-4.390685815e+00	-8.793637258e+00
-7.168393782e+00	-4.484807229e+00	5.338598571e+00
7.363403563e+00	-3.440320005e+00	5.826189684e+00
5.664454060e+00	-8.204939946e+00	7.700134305e-01
-9.727684947e+00	-1.661798106e+00	1.615726655e+00
7.487974673e+00	4.882720157e+00	-4.482106555e+00
-2.177454718e+00	-3.157676663e+00	9.235137738e+00
-7.461701081e+00	4.349830802e+00	-5.040038589e+00
-1.839766501e+00	-5.809744128e+00	-7.928564333e+00
7.498069525e+00	-4.737244391e+00	4.619249829e+00
6.924311905e-01	-9.016857049e+00	-4.268117619e+00
-6.396616538e-01	8.158477762e+00	5.747179620e+00
6.680558829e+00	2.053577845e+00	-7.152129178e+00
-7.092834257e-01	-8.090035698e+00	-5.835086925e+00
-1.158601217e+00	2.164016785e+00	9.694053568e+00
-4.071312877e+00	-4.482147763e+00	7.958314073e+00
3.572203609e-01	-8.864014079e+00	-4.615370843e+00
3.229984508e+00	-1.820851160e-01	9.462243132e+00
-3.906020408e+00	4.411550703e+00	-8.079679756e+00
1.629803837e-01	8.758912063e+00	4.822333136e+00
4.427855191e+00	-4.874237472e-01	8.953017173e+00
-1.278088520e+00	-7.366946242e+00	-6.640375953e+00
1.849768484e-01	-8.771473234e+00	-4.798649901e+00
-2.416171283e+00	-3.393192265e+00	9.091114485e+00
7.412143910e+00	3.641912535e+00	-5.638847023e+00
-4.152550442e+00	-4.514045679e+00	7.898083086e+00
7.124275816e+00	-6.304231395e+00	3.082427715e+00
-1.097092862e+00	7.636342964e+00	6.362598006e+00
-8.515539612e+00	3.595685126e+00	-3.815315661e+00
9.477080375e-01	-9.111489258e+00	-4.010313327e+00
-9.813494772e+00	1.382090051e+00	-1.336094100e+00
6.940504939e-01	9.017514159e+00	4.266466021e+00
-1.185149969e+00	7.511195169e+00	6.494410418e+00
-3.395563968e+00	4.143344007e+00	-8.444101242e+00
5.008672390e+00	8.655235950e+00	-9.567975071e-03
-9.931482580e+00	8.433518227e-01	-8.089570193e-01
7.382725241e+00	-5.531778710e+00	3.859377193e+00
7.493764161e+00	-4.808156510e+00	4.552486099e+00
7.160163090e+00	2.864318698e+00	-6.366140347e+00
7.464206312e+00	-5.096488521e+00	4.279185540e+00
-9.992280930e+00	-2.840389628e-01	2.713736846e-01
-9.900011299e+00	-1.016973544e+00	9.775178186e-01
-1.703236843e+00	3.677397243e+00	9.141976470e+00
3.908832264e+00	-3.288411364e-01	9.198526721e+00
-9.986311492e+00	3.781185366e-01	-3.613989010e-01
-8.124902022e-01	7.982157160e+00	5.968670433e+00
7.494021564e+00	4.804400596e+00	-4.556026307e+00
6.882405473e+00	-2.343614741e+00	6.865854998e+00
7.426291537e+00	3.710653624e+00	-5.575055487e+00
-9.999811311e+00	-4.442753000e-02	4.242568744e-02
-5.366602514e+00	4.782951677e+00	-6.951471119e+00
-1.268475299e+00	7.382517469e+00	6.624908017e+00
7.503956718e+00	-4.513418138e+00	4.829046519e+00
-9.668058308e+00	-1.828382293e+00	1.784843622e+00
-9.527045425e+00	2.164404712e+00	-2.133250503e+00
7.115447656e+00	-2.766648333e+00	6.458797230e+00
6.795429958e+00	2.211934134e+00	-6.994960977e+00
6.522779351e-01	-9.000322726e+00	-4.309144269e+00
1.171745885e+00	-9.180421247e+00	-3.787727195e+00
4.694334977e+00	-8.823473425e+00	-3.309619847e-01
6.834770828e+00	6.866224568e+00	-2.478077464e+00
4.237352372e+00	4.238681446e-01	-9.047937924e+00
-1.864313018e+00	-4.578385945e+00	-8.692681928e+00
6.614677353e+00	-7.201231809e+00	2.094827905e+00
-4.320166048e+00	-4.574142072e+00	7.772605074e+00
-7.025640569e-01	-8.096787135e+00	-5.826529141e+00
-1.172607988e+00	-7.529657245e+00	-6.475280093e+00
8.059030039e-01	-2.745115108e-03	9.967472740e+00
7.215384699e+00	-6.078932604e+00	3.314332819e+00
9.663299038e-01	9.117707818e+00	3.991692706e+00
-1.891335325e+00	5.119571941e+00	8.379309866e+00
-2.657823284e+00	3.609533577e+00	-8.939085118e+00
-9.933586961e+00	-8.303986278e-01	7.964221345e-01
-7.038335318e+00	-4.536052275e+00	5.466814952e+00
