x	y
-2.264999776e-01	2.910683656e-01
5.203566391e-01	-3.417526134e-01
-3.168211525e-02	-9.980188994e-01
2.891043905e-01	6.211586226e-01
-4.227129480e-01	7.723745688e-01
-9.596224469e-01	-1.619876889e-02
-7.374325077e-01	-6.555795093e-01
8.094167306e-01	2.032259750e-01
7.778026819e-01	8.023020017e-02
-2.648593931e-01	-6.520888270e-01
8.182553088e-03	-3.424238273e-01
-1.580773443e-01	7.492803278e-01
5.221355762e-01	7.253354182e-01
7.068539834e-01	6.723395122e-01
2.949615807e-01	-5.027698626e-01
-2.500709735e-01	7.070087648e-01
8.387401837e-01	-3.706928216e-01
2.608965931e-01	8.052063680e-01
-1.761667418e-01	-9.843598099e-01
-7.837256309e-01	3.522687642e-01
-9.504068973e-01	-2.747713114e-01
-1.959836530e-01	4.049904420e-02
-2.161392835e-02	-8.318458225e-01
-6.861559043e-01	4.217617836e-01
1.498803618e-02	-9.684095115e-01
-6.652745920e-01	-6.962937102e-02
-5.708105722e-01	2.505575522e-01
9.973559300e-01	-5.315953839e-02
-2.414112853e-02	-8.443067442e-01
6.372017968e-01	6.472110719e-01
4.875180159e-01	-4.938644457e-01
9.611108602e-01	-1.966586859e-01
-9.399208254e-01	-3.251942595e-01
7.315790343e-02	9.097475060e-01
-7.326124053e-01	-6.712032489e-01
2.438965027e-01	-5.410697031e-01
8.859732894e-01	9.136047149e-02
-8.224790149e-01	-5.497107821e-01
-5.242665562e-01	-8.468149106e-01
-9.474273211e-01	1.888623827e-01
3.321402047e-01	3.159116281e-01
-2.568485950e-01	9.611796046e-01
-9.202690983e-01	3.703714622e-01
-6.507504773e-01	3.424363254e-02
-4.019423789e-01	-3.109142280e-01
-2.749142244e-01	-9.611140571e-01
-4.531531791e-01	8.872036289e-01
-8.364486754e-01	9.669051370e-02
-9.850428538e-01	8.840655365e-02
2.760505089e-01	-9.595423444e-01
7.983779955e-02	-9.946830479e-01
3.625039165e-01	5.402927532e-01
5.022584576e-01	-2.825082622e-01
-7.544351193e-01	-6.499155769e-01
2.248216616e-01	-4.406301352e-02
5.262270557e-01	1.878469622e-01
-8.844956170e-02	-9.021902564e-01
2.185637700e-01	-5.270440120e-02
-7.681319324e-01	6.096213451e-01
7.539187651e-01	4.550324236e-01
7.414587998e-01	-5.990505729e-01
-9.154158780e-01	-3.000635336e-01
-7.976042641e-01	5.532836974e-01
6.783888514e-01	3.989368987e-01
1.578558485e-01	-2.957262018e-01
7.885736064e-01	8.578776023e-02
-1.845852780e-01	-3.907115230e-01
-7.225224593e-01	-4.698071358e-01
1.348406554e-01	-9.821406350e-01
-9.245908697e-01	-1.062314322e-01
-2.079027476e-01	7.126496799e-01
-6.924327609e-01	6.417271609e-01
-7.676910985e-01	-6.117441522e-01
-2.120014974e-01	-9.675631953e-01
-8.856903471e-01	-2.966244356e-01
-9.816058205e-01	-1.126744740e-01
7.180693951e-02	-9.747743591e-01
5.597256771e-01	-7.897739905e-01
5.586027227e-02	7.715485918e-01
4.893347436e-01	-6.559520317e-01
6.781903099e-01	-5.685893567e-01
1.797248304e-01	-6.138466811e-01
-7.943384453e-01	-4.930674553e-01
-1.623901478e-01	5.246406633e-01
-3.111964083e-01	4.986847547e-01
5.215175236e-01	8.473772533e-01
5.236706944e-01	-8.272580885e-01
2.549955911e-03	-3.672708317e-01
4.312409526e-01	8.090587571e-01
4.788827264e-01	-2.182017569e-01
-6.784534273e-01	4.057855755e-01
-3.464980012e-01	-9.612714997e-03
-7.890159454e-02	-9.764890163e-01
4.328387589e-01	-8.629014855e-01
-3.895221651e-01	4.897626883e-01
-3.540421037e-01	6.347943143e-01
8.347946737e-01	-5.017385726e-01
-7.737370140e-01	-6.074972885e-01
9.283580146e-01	-1.198820440e-01
6.345863071e-01	-6.081487532e-01
-3.239279467e-01	-1.089647241e-01
3.932283286e-01	5.580816718e-01
-3.934797922e-01	-6.547083275e-01
-2.238301261e-01	9.425825148e-01
8.689148686e-01	4.067653028e-01
-2.247511292e-01	-5.548345064e-01
9.779751312e-01	-1.315809105e-01
-9.382614834e-01	-3.406072991e-01
2.872876984e-01	1.351514875e-01
4.987511613e-01	-4.077284659e-01
-9.262714925e-01	-3.574238250e-01
-8.442944832e-01	-4.321243378e-01
6.341158554e-01	4.510742438e-01
-9.297064879e-01	3.546415923e-01
-1.963621111e-01	5.608501092e-01
9.835435711e-01	1.241196335e-02
-2.085883523e-01	5.017090110e-01
3.329700879e-01	-6.998365086e-01
-9.008087044e-01	3.280183787e-01
-4.273302867e-01	7.489004157e-01
-6.435299197e-01	-5.343055374e-01
6.188695515e-01	5.219499343e-01
-3.742038305e-02	-9.963783647e-01
3.763389722e-01	-4.748094450e-01
7.305392114e-01	3.268065342e-02
8.031629800e-01	2.663297944e-01
-2.144222130e-01	-1.753481680e-01
-8.534594597e-01	-5.065292986e-01
-9.829492074e-01	-1.455669690e-01
-3.943519704e-01	-9.186798173e-01
2.321594998e-01	9.264834251e-01
1.314997667e-01	1.728632261e-01
-9.435891729e-01	-2.238196215e-01
-2.793688786e-01	1.679006977e-01
1.469404825e-01	7.896844915e-01
-4.524798086e-01	-6.557897693e-01
2.010114936e-01	-7.537002628e-01
6.112235442e-01	7.756830269e-01
1.292642843e-01	-3.795932112e-01
-1.332229618e-01	8.815103323e-01
-3.371014937e-01	-3.735074220e-01
4.125365308e-01	2.039015675e-01
-9.421712328e-01	-2.331481454e-01
2.242554757e-01	1.725762616e-01
-8.350884726e-01	-4.610868671e-01
5.258205423e-01	-4.673207417e-01
-3.049163710e-01	9.427597458e-01
8.961822415e-01	-4.073329024e-01
-3.469083974e-01	-7.748113331e-02
-1.451045194e-02	-9.938782941e-01
-6.786222968e-01	1.321689132e-01
-3.778894937e-01	9.135781075e-01
9.710809206e-01	-2.217484418e-01
-4.367199644e-01	-8.802398385e-01
9.819082255e-01	5.981911441e-02
7.350634842e-01	-6.737345437e-01
9.492506291e-01	-3.052873807e-01
4.999331245e-01	-8.243639036e-01
2.994275105e-01	-2.402875265e-01
4.690071263e-01	8.435231773e-03
-8.098136497e-01	4.408237692e-01
8.785266675e-02	7.389339081e-01
-2.537312094e-01	8.740013951e-01
-1.353811987e-01	4.246833365e-01
-1.874330982e-01	5.742563602e-01
9.808946177e-01	-3.943945740e-02
4.659970383e-01	7.931853893e-01
-3.609423816e-01	-9.158839426e-01
2.855741151e-01	9.314161613e-01
5.391948772e-01	5.383977902e-01
7.997459083e-01	5.750921083e-01
3.176124537e-01	-5.468629628e-01
-5.671619395e-01	2.796652092e-02
4.819722770e-02	-3.078576407e-01
-9.257014969e-01	2.873097647e-01
1.350646447e-01	3.998974106e-01
2.401056907e-01	-8.303321547e-01
1.890572797e-01	-8.402200997e-01
9.800960073e-01	5.566065364e-03
-2.107346436e-01	-6.991610918e-01
-6.670489868e-01	-7.423660390e-01
6.886139751e-01	-2.044372026e-01
-8.100701017e-01	-2.863416686e-01
2.718826888e-01	9.459955207e-01
-7.054176861e-01	5.364078513e-01
-4.371597094e-01	6.452428672e-01
4.735445296e-01	-4.850950827e-01
-2.879475041e-02	-4.323444140e-01
-9.095444761e-01	-3.814084389e-01
6.602144973e-01	6.087296469e-01
4.919685910e-01	7.886575767e-03
8.305531548e-01	-5.089221725e-01
2.408559099e-01	8.150803089e-01
-3.136570618e-01	-3.061786843e-01
5.144973765e-01	4.222036748e-01
9.956567914e-01	1.741018432e-02
-7.479916322e-01	-2.528292441e-02
3.140749225e-01	-9.441741791e-01
-5.706833745e-01	2.658904357e-01
8.774338615e-01	-1.489286935e-01
-9.180157932e-01	1.710139912e-01
6.757049108e-02	7.862354189e-01
-2.347270650e-01	-9.633788336e-01
