t	<x^1>
0	0.000000000e+00
1	-3.280000000e-06
2	-3.740000000e-06
3	4.880000000e-06
4	4.760000000e-06
5	7.640000000e-06
6	9.460000000e-06
7	1.500000000e-05
8	2.036000000e-05
9	1.928000000e-05
10	2.246000000e-05
11	2.840000000e-05
12	2.836000000e-05
13	3.326000000e-05
14	3.604000000e-05
15	3.124000000e-05
16	2.950000000e-05
17	2.962000000e-05
18	3.684000000e-05
19	4.378000000e-05
20	4.168000000e-05
21	4.298000000e-05
22	4.166000000e-05
23	4.172000000e-05
24	4.220000000e-05
25	4.744000000e-05
26	4.784000000e-05
27	4.476000000e-05
28	5.562000000e-05
29	5.092000000e-05
30	4.986000000e-05
31	5.104000000e-05
32	4.716000000e-05
33	4.748000000e-05
34	5.144000000e-05
35	5.016000000e-05
36	5.410000000e-05
37	5.106000000e-05
38	5.438000000e-05
39	5.164000000e-05
40	5.118000000e-05
41	5.156000000e-05
42	5.196000000e-05
43	4.696000000e-05
44	5.088000000e-05
45	5.152000000e-05
46	5.434000000e-05
47	5.750000000e-05
48	5.828000000e-05
49	6.140000000e-05
50	6.692000000e-05
51	6.848000000e-05
52	6.822000000e-05
53	6.996000000e-05
54	6.904000000e-05
55	7.596000000e-05
56	7.390000000e-05
57	7.728000000e-05
58	7.556000000e-05
59	7.148000000e-05
60	6.888000000e-05
61	6.792000000e-05
62	6.674000000e-05
63	6.846000000e-05
64	6.648000000e-05
65	6.086000000e-05
66	5.722000000e-05
67	5.982000000e-05
68	5.464000000e-05
69	5.440000000e-05
70	5.168000000e-05
71	4.818000000e-05
72	4.446000000e-05
73	4.884000000e-05
74	5.042000000e-05
75	4.704000000e-05
76	4.256000000e-05
77	4.074000000e-05
78	4.342000000e-05
79	4.342000000e-05
80	4.448000000e-05
81	4.454000000e-05
82	4.012000000e-05
83	3.614000000e-05
84	4.006000000e-05
85	3.504000000e-05
86	3.936000000e-05
87	3.558000000e-05
88	3.398000000e-05
89	3.754000000e-05
90	3.880000000e-05
91	3.556000000e-05
92	3.674000000e-05
93	3.678000000e-05
94	4.230000000e-05
95	4.344000000e-05
96	4.462000000e-05
97	4.028000000e-05
98	4.028000000e-05
99	4.318000000e-05
100	4.308000000e-05
101	4.378000000e-05
102	4.640000000e-05
103	4.938000000e-05
104	5.352000000e-05
105	5.392000000e-05
106	5.648000000e-05
107	5.408000000e-05
108	5.250000000e-05
109	4.640000000e-05
110	4.918000000e-05
111	5.186000000e-05
112	4.932000000e-05
113	5.268000000e-05
114	5.418000000e-05
115	4.528000000e-05
116	4.206000000e-05
117	4.776000000e-05
118	4.816000000e-05
119	4.838000000e-05
120	4.876000000e-05
121	4.988000000e-05
122	4.774000000e-05
123	4.730000000e-05
124	4.760000000e-05
125	4.818000000e-05
126	4.374000000e-05
127	3.928000000e-05
128	3.920000000e-05
129	4.216000000e-05
130	4.216000000e-05
131	4.020000000e-05
132	4.148000000e-05
133	3.786000000e-05
134	3.866000000e-05
135	3.844000000e-05
136	3.632000000e-05
