t	C
0	Null
1	Null
2	Null
3	Null
4	Null
5	Null
6	Null
7	Null
8	Null
9	Null
10	9.977224000e-06
11	9.979052000e-06
12	9.983556000e-06
13	9.984076000e-06
14	9.985220000e-06
15	9.982512000e-06
16	9.985656000e-06
17	9.983344000e-06
18	9.985796000e-06
19	9.986436000e-06
20	9.984980000e-06
21	9.983772000e-06
22	9.984396000e-06
23	9.984624000e-06
24	9.988260000e-06
25	9.983592000e-06
26	9.987692000e-06
27	9.986224000e-06
28	9.986460000e-06
29	9.987512000e-06
30	9.988392000e-06
31	9.984160000e-06
32	9.985556000e-06
33	9.984224000e-06
34	9.990128000e-06
35	9.994812000e-06
36	9.991392000e-06
37	9.994480000e-06
38	9.992312000e-06
39	9.990460000e-06
40	9.987164000e-06
41	9.991252000e-06
42	9.991544000e-06
43	9.994112000e-06
44	9.993456000e-06
45	9.991960000e-06
46	9.991636000e-06
47	9.990956000e-06
48	9.992860000e-06
49	9.990880000e-06
50	9.989544000e-06
51	9.987872000e-06
52	9.986552000e-06
53	9.984920000e-06
54	9.983964000e-06
55	9.983536000e-06
56	9.985848000e-06
57	9.989316000e-06
58	9.989232000e-06
59	9.987836000e-06
60	9.989352000e-06
61	9.986556000e-06
62	9.983224000e-06
63	9.987560000e-06
64	9.986968000e-06
65	9.995668000e-06
66	9.991244000e-06
67	9.990896000e-06
68	9.987524000e-06
69	9.987368000e-06
70	9.991644000e-06
71	9.989004000e-06
72	9.992280000e-06
73	9.994332000e-06
74	9.994612000e-06
75	9.992680000e-06
76	9.990868000e-06
77	9.987816000e-06
78	9.985072000e-06
79	9.987052000e-06
80	9.987768000e-06
81	9.991268000e-06
82	9.987328000e-06
83	9.983376000e-06
84	9.983192000e-06
85	9.984088000e-06
86	9.982724000e-06
87	9.982996000e-06
88	9.977784000e-06
89	9.974900000e-06
90	9.974944000e-06
91	9.974644000e-06
92	9.973820000e-06
93	9.971296000e-06
94	9.969188000e-06
95	9.967652000e-06
96	9.970284000e-06
97	9.974792000e-06
98	9.976908000e-06
99	9.975656000e-06
