N	P_d
2	2.497920000e-01
4	1.404540000e-01
6	9.760800000e-02
8	7.498400000e-02
10	6.095100000e-02
12	5.107300000e-02
14	4.387700000e-02
16	3.835800000e-02
18	3.471700000e-02
20	3.111200000e-02
22	2.835600000e-02
24	2.589300000e-02
26	2.393900000e-02
28	2.237300000e-02
30	2.088400000e-02
32	1.956200000e-02
34	1.857800000e-02
36	1.752200000e-02
38	1.645500000e-02
40	1.573100000e-02
42	1.503100000e-02
44	1.420100000e-02
46	1.342000000e-02
48	1.278100000e-02
50	1.247700000e-02
52	1.216900000e-02
54	1.146300000e-02
56	1.143000000e-02
58	1.091400000e-02
60	1.060700000e-02
62	1.012500000e-02
64	9.906000000e-03
66	9.505000000e-03
68	9.171000000e-03
70	9.153000000e-03
72	8.618000000e-03
74	8.487000000e-03
76	8.271000000e-03
78	8.166000000e-03
80	7.905000000e-03

