N	P_d
2	5.000000000e-01
4	3.750000000e-01
6	3.125000000e-01
8	2.734375000e-01
10	2.460937500e-01
12	2.255859375e-01
14	2.094726563e-01
16	1.963806152e-01
18	1.854705811e-01
20	1.761970520e-01
22	1.681880951e-01
24	1.611802578e-01
26	1.549810171e-01
28	1.494459808e-01
30	1.444644481e-01
32	1.399499341e-01
34	1.358337596e-01
36	1.320605996e-01
38	1.285853206e-01
40	1.253706876e-01
42	1.223856712e-01
44	1.196041787e-01
46	1.170040879e-01
48	1.145665027e-01
50	1.122751727e-01
52	1.101160347e-01
54	1.080768489e-01
56	1.061469052e-01
58	1.043167861e-01
60	1.025781730e-01
62	1.009236863e-01
64	9.934675375e-02
66	9.784149990e-02
68	9.640265432e-02
70	9.502547354e-02
72	9.370567530e-02
74	9.243938239e-02
76	9.122307472e-02
78	9.005354813e-02
80	8.892787877e-02
82	8.784339245e-02
84	8.679763778e-02
86	8.578836292e-02
88	8.481349516e-02
90	8.387112299e-02
92	8.295948035e-02
94	8.207693268e-02
96	8.122196464e-02
98	8.039316908e-02
100	7.958923739e-02
102	7.880895075e-02
104	7.805117237e-02
106	7.731484056e-02
108	7.659896241e-02
110	7.590260820e-02
112	7.522490634e-02
114	7.456503874e-02
116	7.392223669e-02
118	7.329577705e-02
120	7.268497891e-02
122	7.208920039e-02
124	7.150783588e-02
126	7.094031337e-02
128	7.038609217e-02
130	6.984466069e-02
132	6.931553447e-02
134	6.879825437e-02
136	6.829238485e-02
138	6.779751250e-02
140	6.731324455e-02
142	6.683920762e-02
144	6.637504645e-02
146	6.592042285e-02
148	6.547501458e-02
150	6.503851449e-02
152	6.461062952e-02
154	6.419107998e-02
156	6.377959870e-02
158	6.337593035e-02
160	6.297983079e-02
