N	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x^2	y^2	x^2+y^2
1	7.663694627e-01	2.171559533e+00	-1.302346298e+00	-1.034231770e+00	-1.694265508e+00	6.796102227e-01	1.118282483e-02	2.497369202e-01	-5.024784101e-01	2.453619213e-01	1.356824970e-01	-2.084272464e+00	-8.068292827e-01	-1.179754190e+00	3.106761787e-01	6.345352489e-01	-1.373457648e-02	7.629730167e-01	-1.802192972e+00	-3.572736864e-01	-3.626680683e-02	1.063777579e+00	7.758405558e-01	5.222125319e-02	1.219969811e+00	8.326075589e-01	-1.202093255e+00	2.118654853e+00	-1.232410842e-01	2.870983049e-01	1.373257309e-01	-2.266441312e+00	6.302301001e-01	1.277292287e+00	-7.634034579e-01	1.178082711e+00	1.169439452e+00	-2.311280966e-01	-8.466102296e-02	2.021870713e-01	7.672970181e-01	1.393364281e+00	2.160661299e+00
2	7.663694627e-01	2.171559533e+00	-1.302346298e+00	-1.034231770e+00	-1.956541230e+00	6.115419606e-01	1.118282483e-02	2.497369202e-01	-5.024784101e-01	2.453619213e-01	1.356824970e-01	-2.084272464e+00	3.501439388e-01	-5.308211297e-01	7.700830818e-01	2.863554458e-01	1.018414990e+00	1.100738615e+00	-1.802192972e+00	-3.572736864e-01	4.620406112e-01	9.165516410e-01	7.758405558e-01	5.222125319e-02	9.773861212e-01	1.128539151e+00	-1.202093255e+00	2.118654853e+00	7.990140167e-01	4.285787784e-01	-8.967333560e-01	-4.975144530e-01	6.302301001e-01	1.277292287e+00	-7.634034579e-01	1.178082711e+00	-4.441925773e-01	5.535308828e-02	1.547739548e+00	-4.140889984e-02	9.807126951e-01	1.119475971e+00	2.100188666e+00
3	7.663694627e-01	2.171559533e+00	-1.302346298e+00	-1.034231770e+00	-2.061451802e+00	5.795651453e-01	1.118282483e-02	2.497369202e-01	1.281082726e+00	-1.642625990e+00	1.356824970e-01	-2.084272464e+00	-5.200863258e-01	-2.908778473e-01	7.700830818e-01	2.863554458e-01	1.018414990e+00	1.100738615e+00	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	-7.265302468e-01	7.061420627e-01	9.773861212e-01	1.128539151e+00	-1.202093255e+00	2.118654853e+00	7.990140167e-01	4.285787784e-01	7.086952240e-01	-1.859369426e+00	6.302301001e-01	1.277292287e+00	8.706068128e-01	1.388703475e+00	9.698656364e-02	-1.546824868e+00	1.547739548e+00	-4.140889984e-02	1.136034004e+00	1.576723836e+00	2.712757840e+00
4	-2.849558904e-01	2.546349658e+00	-1.302346298e+00	-1.034231770e+00	-2.061451802e+00	5.795651453e-01	5.907027501e-01	8.411214967e-01	1.281082726e+00	-1.642625990e+00	1.356824970e-01	-2.084272464e+00	-5.200863258e-01	-2.908778473e-01	7.700830818e-01	2.863554458e-01	1.018414990e+00	1.100738615e+00	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	1.047312678e+00	-1.115814990e+00	9.773861212e-01	1.128539151e+00	-3.404838436e-01	1.388040213e+00	7.990140167e-01	4.285787784e-01	9.329868217e-01	-1.790487823e+00	-4.794419325e-01	1.419440706e+00	1.977056294e-01	7.385132762e-01	9.698656364e-02	-1.546824868e+00	1.448684490e+00	-4.597819509e-01	1.049424579e+00	1.554535032e+00	2.603959611e+00
5	-2.849558904e-01	2.546349658e+00	-1.302346298e+00	-1.034231770e+00	-2.061451802e+00	5.795651453e-01	-6.178271158e-01	7.966556080e-02	1.281082726e+00	-1.642625990e+00	1.356824970e-01	-2.084272464e+00	-5.200863258e-01	-2.908778473e-01	1.419176237e+00	-2.049809726e-01	-7.132677739e-01	9.085239245e-01	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	-3.278966509e-01	-2.659011177e+00	1.529624067e+00	2.991686711e+00	-1.998895035e+00	1.471140353e+00	7.990140167e-01	4.285787784e-01	9.329868217e-01	-1.790487823e+00	-4.794419325e-01	1.419440706e+00	1.977056294e-01	7.385132762e-01	9.698656364e-02	-1.546824868e+00	4.559902599e-01	1.128298323e+00	1.214894913e+00	2.238225596e+00	3.453120509e+00
6	-2.849558904e-01	2.546349658e+00	-2.489046871e+00	2.892433216e-01	-1.337830625e+00	-1.319306210e+00	-6.178271158e-01	7.966556080e-02	1.281082726e+00	-1.642625990e+00	1.356824970e-01	-2.084272464e+00	-5.200863258e-01	-2.908778473e-01	-2.523924260e-01	-8.595036908e-01	6.902516594e-01	-5.403602773e-01	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	1.299834229e+00	-1.586111149e+00	1.529624067e+00	2.991686711e+00	-1.998895035e+00	1.471140353e+00	7.990140167e-01	4.285787784e-01	9.329868217e-01	-1.790487823e+00	-1.169807909e+00	-1.615288423e-01	-9.333098987e-03	1.838605329e+00	-6.289003919e-01	2.711140970e-01	4.559902599e-01	1.128298323e+00	1.371121941e+00	1.965955273e+00	3.337077214e+00
7	-1.457314758e+00	1.710870408e+00	-7.614657668e-01	-5.514336429e-02	-1.774620601e+00	-8.484443190e-01	6.320264112e-01	-3.210675888e-02	1.281082726e+00	-1.642625990e+00	1.963009735e+00	-1.795383576e+00	-5.200863258e-01	-2.908778473e-01	-8.171310244e-01	-2.112704887e-02	1.658139383e-01	1.234861447e+00	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	9.925941595e-01	-1.169961941e+00	4.657818570e-01	1.995669998e+00	-1.463532165e+00	9.149071182e-01	7.990140167e-01	4.285787784e-01	9.329868217e-01	-1.790487823e+00	-1.093319696e+00	9.758693516e-01	-9.333098987e-03	1.838605329e+00	6.632646692e-01	6.892957150e-01	7.499929168e-01	2.430953097e+00	1.238092364e+00	1.627607314e+00	2.865699678e+00
8	-1.457314758e+00	1.710870408e+00	-7.614657668e-01	-5.514336429e-02	-1.774620601e+00	-8.484443190e-01	6.320264112e-01	-3.210675888e-02	1.094171490e+00	-4.597674810e-01	1.963009735e+00	-1.795383576e+00	-5.200863258e-01	-2.908778473e-01	-8.437091277e-02	-3.219308781e-01	1.394235766e+00	1.920514094e+00	-2.911302385e-01	6.740813424e-01	2.216672388e+00	-7.871779084e-01	9.925941595e-01	-1.169961941e+00	-3.640461744e-01	1.075947461e+00	-1.463532165e+00	9.149071182e-01	3.468186537e-01	3.811127726e-01	9.329868217e-01	-1.790487823e+00	-1.423862474e+00	1.143401767e+00	9.576772970e-01	1.782330987e+00	6.632646692e-01	6.892957150e-01	7.499929168e-01	2.430953097e+00	1.336011588e+00	1.480990459e+00	2.817002047e+00
9	1.464489427e-01	2.767380204e+00	-7.614657668e-01	-5.514336429e-02	-1.774620601e+00	-8.484443190e-01	1.438965820e+00	-1.466327511e-03	-4.256597599e-01	-6.635840821e-01	1.963009735e+00	-1.795383576e+00	-5.200863258e-01	-2.908778473e-01	-8.437091277e-02	-3.219308781e-01	1.394235766e+00	1.920514094e+00	-1.868645094e+00	-1.809828769e-02	4.680548192e-01	-6.026539525e-01	9.925941595e-01	-1.169961941e+00	-3.640461744e-01	1.075947461e+00	-1.463532165e+00	9.149071182e-01	3.468186537e-01	3.811127726e-01	9.329868217e-01	-1.790487823e+00	-1.593170863e+00	1.777310798e+00	9.576772970e-01	1.782330987e+00	2.939422731e-01	-1.112215572e+00	1.754473307e+00	1.332879119e+00	1.332927390e+00	1.617446660e+00	2.950374050e+00
10	-2.781876876e-03	2.644995339e+00	-7.614657668e-01	-5.514336429e-02	2.391022631e-02	-1.940826383e+00	5.884732895e-01	1.370577037e+00	-4.256597599e-01	-6.635840821e-01	1.963009735e+00	-1.795383576e+00	-3.880120149e-01	2.820658674e-01	-8.437091277e-02	-3.219308781e-01	1.394235766e+00	1.920514094e+00	-1.868645094e+00	-1.809828769e-02	4.680548192e-01	-6.026539525e-01	1.164293171e+00	3.753219739e-01	9.520258871e-01	4.990847408e-01	-4.311691701e-01	1.039757584e+00	3.468186537e-01	3.811127726e-01	-3.041666104e-01	-1.028221404e+00	-1.593170863e+00	1.777310798e+00	2.830359038e-01	2.284435367e+00	1.358786510e+00	-2.275124780e+00	8.110487595e-01	2.596500166e+00	9.278410794e-01	2.175609434e+00	3.103450513e+00
