lambda	class
0.000000000e+00	1
2.000000000e-04	1
4.000000000e-04	1
6.000000000e-04	1
8.000000000e-04	1
1.000000000e-03	1
1.200000000e-03	1
1.400000000e-03	1
1.600000000e-03	1
1.800000000e-03	1
2.000000000e-03	1
2.200000000e-03	1
2.400000000e-03	1
2.600000000e-03	1
2.800000000e-03	1
3.000000000e-03	1
3.200000000e-03	1
3.400000000e-03	1
3.600000000e-03	1
3.800000000e-03	1
4.000000000e-03	1
4.200000000e-03	1
4.400000000e-03	1
4.600000000e-03	1
4.800000000e-03	1
5.000000000e-03	1
5.200000000e-03	1
5.400000000e-03	1
5.600000000e-03	1
5.800000000e-03	1
6.000000000e-03	1
6.200000000e-03	1
6.400000000e-03	1
6.600000000e-03	1
6.800000000e-03	1
7.000000000e-03	1
7.200000000e-03	1
7.400000000e-03	1
7.600000000e-03	1
7.800000000e-03	1
8.000000000e-03	1
8.200000000e-03	1
8.400000000e-03	1
8.600000000e-03	1
8.800000000e-03	1
9.000000000e-03	1
9.200000000e-03	1
9.400000000e-03	1
9.600000000e-03	1
9.800000000e-03	1
1.000000000e-02	1
1.020000000e-02	1
1.040000000e-02	1
1.060000000e-02	1
1.080000000e-02	1
1.100000000e-02	1
1.120000000e-02	1
1.140000000e-02	1
1.160000000e-02	1
1.180000000e-02	1
1.200000000e-02	1
1.220000000e-02	1
1.240000000e-02	1
1.260000000e-02	1
1.280000000e-02	1
1.300000000e-02	1
1.320000000e-02	1
1.340000000e-02	1
1.360000000e-02	1
1.380000000e-02	1
1.400000000e-02	1
1.420000000e-02	1
1.440000000e-02	1
1.460000000e-02	1
1.480000000e-02	1
1.500000000e-02	1
1.520000000e-02	1
1.540000000e-02	1
1.560000000e-02	1
1.580000000e-02	1
1.600000000e-02	1
1.620000000e-02	1
1.640000000e-02	1
1.660000000e-02	1
1.680000000e-02	1
1.700000000e-02	1
1.720000000e-02	1
1.740000000e-02	1
1.760000000e-02	1
1.780000000e-02	1
1.800000000e-02	1
1.820000000e-02	1
1.840000000e-02	1
1.860000000e-02	1
1.880000000e-02	1
1.900000000e-02	1
1.920000000e-02	1
1.940000000e-02	1
1.960000000e-02	1
1.980000000e-02	1
2.000000000e-02	1
2.020000000e-02	1
2.040000000e-02	1
2.060000000e-02	1
2.080000000e-02	1
2.100000000e-02	1
2.120000000e-02	1
2.140000000e-02	1
2.160000000e-02	1
2.180000000e-02	1
2.200000000e-02	1
2.220000000e-02	1
2.240000000e-02	1
2.260000000e-02	1
2.280000000e-02	1
2.300000000e-02	1
2.320000000e-02	1
2.340000000e-02	1
2.360000000e-02	1
2.380000000e-02	1
2.400000000e-02	1
2.420000000e-02	1
2.440000000e-02	1
2.460000000e-02	1
2.480000000e-02	1
2.500000000e-02	1
2.520000000e-02	1
2.540000000e-02	1
2.560000000e-02	1
2.580000000e-02	1
2.600000000e-02	1
2.620000000e-02	1
2.640000000e-02	1
2.660000000e-02	1
2.680000000e-02	1
2.700000000e-02	1
2.720000000e-02	1
2.740000000e-02	1
2.760000000e-02	1
