lambda	class
0.000000000e+00	1
8.000000000e-04	1
1.600000000e-03	1
2.400000000e-03	1
3.200000000e-03	1
4.000000000e-03	1
4.800000000e-03	1
5.600000000e-03	1
6.400000000e-03	1
7.200000000e-03	1
8.000000000e-03	1
8.800000000e-03	1
9.600000000e-03	1
1.040000000e-02	1
1.120000000e-02	1
1.200000000e-02	1
1.280000000e-02	1
1.360000000e-02	1
1.440000000e-02	1
1.520000000e-02	1
1.600000000e-02	1
1.680000000e-02	1
1.760000000e-02	1
1.840000000e-02	1
1.920000000e-02	1
2.000000000e-02	1
2.080000000e-02	1
2.160000000e-02	1
2.240000000e-02	1
2.320000000e-02	1
2.400000000e-02	1
2.480000000e-02	1
2.560000000e-02	1
2.640000000e-02	1
2.720000000e-02	1
2.800000000e-02	1
2.880000000e-02	1
2.960000000e-02	1
3.040000000e-02	1
3.120000000e-02	1
3.200000000e-02	1
3.280000000e-02	1
3.360000000e-02	1
3.440000000e-02	1
3.520000000e-02	1
3.600000000e-02	1
3.680000000e-02	1
3.760000000e-02	1
3.840000000e-02	1
3.920000000e-02	1
4.000000000e-02	1
4.080000000e-02	1
4.160000000e-02	1
4.240000000e-02	1
4.320000000e-02	1
4.400000000e-02	1
4.480000000e-02	1
4.560000000e-02	1
4.640000000e-02	1
4.720000000e-02	1
4.800000000e-02	1
4.880000000e-02	1
4.960000000e-02	1
5.040000000e-02	1
5.120000000e-02	1
5.200000000e-02	1
5.280000000e-02	1
5.360000000e-02	1
5.440000000e-02	1
5.520000000e-02	1
5.600000000e-02	1
5.680000000e-02	1
5.760000000e-02	1
5.840000000e-02	1
5.920000000e-02	1
6.000000000e-02	1
6.080000000e-02	1
6.160000000e-02	1
6.240000000e-02	1
6.320000000e-02	1
6.400000000e-02	1
6.480000000e-02	1
6.560000000e-02	1
6.640000000e-02	1
6.720000000e-02	1
6.800000000e-02	1
6.880000000e-02	1
6.960000000e-02	1
7.040000000e-02	1
7.120000000e-02	1
7.200000000e-02	1
7.280000000e-02	1
7.360000000e-02	1
7.440000000e-02	1
7.520000000e-02	1
7.600000000e-02	1
7.680000000e-02	1
7.760000000e-02	1
7.840000000e-02	1
7.920000000e-02	1
8.000000000e-02	1
8.080000000e-02	1
8.160000000e-02	1
8.240000000e-02	1
8.320000000e-02	1
8.400000000e-02	1
8.480000000e-02	1
8.560000000e-02	1
8.640000000e-02	1
8.720000000e-02	1
8.800000000e-02	1
8.880000000e-02	1
8.960000000e-02	1
9.040000000e-02	1
9.120000000e-02	1
9.200000000e-02	1
9.280000000e-02	1
9.360000000e-02	1
9.440000000e-02	1
9.520000000e-02	1
9.600000000e-02	1
9.680000000e-02	1
9.760000000e-02	1
9.840000000e-02	1
9.920000000e-02	1
1.000000000e-01	1
1.008000000e-01	1
1.016000000e-01	1
1.024000000e-01	1
1.032000000e-01	1
1.040000000e-01	1
1.048000000e-01	1
1.056000000e-01	1
1.064000000e-01	1
1.072000000e-01	1
1.080000000e-01	1
1.088000000e-01	1
1.096000000e-01	1
1.104000000e-01	1
1.112000000e-01	1
1.120000000e-01	1
1.128000000e-01	1
1.136000000e-01	1
1.144000000e-01	1
1.152000000e-01	1
1.160000000e-01	1
1.168000000e-01	1
1.176000000e-01	1
1.184000000e-01	1
1.192000000e-01	1
1.200000000e-01	1
1.208000000e-01	1
1.216000000e-01	1
1.224000000e-01	1
1.232000000e-01	1
1.240000000e-01	1
1.248000000e-01	1
1.256000000e-01	1
1.264000000e-01	1
1.272000000e-01	1
1.280000000e-01	1
1.288000000e-01	1
1.296000000e-01	1
1.304000000e-01	1
1.312000000e-01	1
1.320000000e-01	1
1.328000000e-01	1
1.336000000e-01	1
1.344000000e-01	1
1.352000000e-01	1
1.360000000e-01	1
1.368000000e-01	1
1.376000000e-01	1
1.384000000e-01	1
1.392000000e-01	1
1.400000000e-01	1
1.408000000e-01	1
1.416000000e-01	1
1.424000000e-01	1
1.432000000e-01	1
1.440000000e-01	1
1.448000000e-01	1
1.456000000e-01	1
1.464000000e-01	1
1.472000000e-01	1
1.480000000e-01	1
1.488000000e-01	1
1.496000000e-01	1
1.504000000e-01	1
1.512000000e-01	1
1.520000000e-01	1
1.528000000e-01	1
1.536000000e-01	1
1.544000000e-01	1
1.552000000e-01	1
1.560000000e-01	1
1.568000000e-01	1
1.576000000e-01	1
1.584000000e-01	1
1.592000000e-01	1
1.600000000e-01	1
1.608000000e-01	1
1.616000000e-01	1
1.624000000e-01	1
1.632000000e-01	1
1.640000000e-01	1
1.648000000e-01	1
1.656000000e-01	1
1.664000000e-01	1
1.672000000e-01	1
