lambda	class
7.000000000e-01	1
7.000400000e-01	1
7.000800000e-01	1
7.001200000e-01	1
7.001600000e-01	1
7.002000000e-01	1
7.002400000e-01	1
7.002800000e-01	1
7.003200000e-01	1
7.003600000e-01	1
7.004000000e-01	1
7.004400000e-01	1
7.004800000e-01	1
7.005200000e-01	1
7.005600000e-01	1
7.006000000e-01	1
7.006400000e-01	1
7.006800000e-01	1
7.007200000e-01	1
7.007600000e-01	1
7.008000000e-01	1
7.008400000e-01	1
7.008800000e-01	1
7.009200000e-01	1
7.009600000e-01	1
7.010000000e-01	1
7.010400000e-01	1
7.010800000e-01	1
7.011200000e-01	1
7.011600000e-01	1
7.012000000e-01	1
7.012400000e-01	1
7.012800000e-01	1
7.013200000e-01	1
7.013600000e-01	1
7.014000000e-01	1
7.014400000e-01	1
7.014800000e-01	1
7.015200000e-01	1
7.015600000e-01	1
7.016000000e-01	1
7.016400000e-01	1
7.016800000e-01	1
7.017200000e-01	1
7.017600000e-01	1
7.018000000e-01	1
7.018400000e-01	1
7.018800000e-01	1
7.019200000e-01	1
7.019600000e-01	1
7.020000000e-01	1
7.020400000e-01	1
7.020800000e-01	1
7.021200000e-01	1
7.021600000e-01	1
7.022000000e-01	1
7.022400000e-01	1
7.022800000e-01	1
7.023200000e-01	1
7.023600000e-01	1
7.024000000e-01	1
7.024400000e-01	1
7.024800000e-01	1
7.025200000e-01	1
7.025600000e-01	1
7.026000000e-01	1
7.026400000e-01	1
7.026800000e-01	1
7.027200000e-01	1
7.027600000e-01	1
7.028000000e-01	1
7.028400000e-01	1
7.028800000e-01	1
7.029200000e-01	1
7.029600000e-01	1
7.030000000e-01	1
7.030400000e-01	1
7.030800000e-01	1
7.031200000e-01	1
7.031600000e-01	1
7.032000000e-01	1
7.032400000e-01	1
7.032800000e-01	1
7.033200000e-01	1
7.033600000e-01	1
7.034000000e-01	1
7.034400000e-01	1
7.034800000e-01	1
7.035200000e-01	1
7.035600000e-01	1
7.036000000e-01	1
7.036400000e-01	1
7.036800000e-01	1
7.037200000e-01	1
7.037600000e-01	1
7.038000000e-01	1
7.038400000e-01	1
7.038800000e-01	1
7.039200000e-01	1
7.039600000e-01	1
7.040000000e-01	1
7.040400000e-01	1
7.040800000e-01	1
7.041200000e-01	1
7.041600000e-01	1
7.042000000e-01	1
7.042400000e-01	1
7.042800000e-01	1
7.043200000e-01	1
7.043600000e-01	1
7.044000000e-01	1
7.044400000e-01	1
7.044800000e-01	1
7.045200000e-01	1
7.045600000e-01	1
7.046000000e-01	1
7.046400000e-01	1
7.046800000e-01	1
7.047200000e-01	1
7.047600000e-01	1
7.048000000e-01	1
7.048400000e-01	1
7.048800000e-01	1
7.049200000e-01	1
7.049600000e-01	1
7.050000000e-01	1
7.050400000e-01	1
7.050800000e-01	1
7.051200000e-01	1
7.051600000e-01	1
7.052000000e-01	1
7.052400000e-01	1
7.052800000e-01	1
7.053200000e-01	1
7.053600000e-01	1
7.054000000e-01	1
7.054400000e-01	1
7.054800000e-01	1
7.055200000e-01	1
7.055600000e-01	1
7.056000000e-01	1
7.056400000e-01	1
7.056800000e-01	1
7.057200000e-01	1
7.057600000e-01	1
7.058000000e-01	1
7.058400000e-01	1
7.058800000e-01	1
7.059200000e-01	1
7.059600000e-01	1
7.060000000e-01	1
7.060400000e-01	1
7.060800000e-01	1
7.061200000e-01	1
7.061600000e-01	1
7.062000000e-01	1
7.062400000e-01	1
7.062800000e-01	1
7.063200000e-01	1
7.063600000e-01	1
7.064000000e-01	1
7.064400000e-01	1
7.064800000e-01	1
7.065200000e-01	1
7.065600000e-01	1
7.066000000e-01	1
7.066400000e-01	1
7.066800000e-01	1
7.067200000e-01	1
7.067600000e-01	1
7.068000000e-01	1
7.068400000e-01	1
7.068800000e-01	1
7.069200000e-01	1
7.069600000e-01	1
7.070000000e-01	1
7.070400000e-01	1
7.070800000e-01	1
7.071200000e-01	1
7.071600000e-01	1
7.072000000e-01	1
7.072400000e-01	1
7.072800000e-01	1
7.073200000e-01	1
7.073600000e-01	1
7.074000000e-01	1
7.074400000e-01	1
7.074800000e-01	1
7.075200000e-01	1
7.075600000e-01	1
7.076000000e-01	1
7.076400000e-01	1
7.076800000e-01	1
7.077200000e-01	1
7.077600000e-01	1
