lambda	x
7.000000000e-01	6.365615085e-01
7.000400000e-01	6.365805043e-01
7.000800000e-01	6.365994978e-01
7.001200000e-01	6.366184891e-01
7.001600000e-01	6.366374781e-01
7.002000000e-01	6.366564650e-01
7.002400000e-01	6.366754496e-01
7.002800000e-01	6.366944321e-01
7.003200000e-01	6.367134122e-01
7.003600000e-01	6.367323902e-01
7.004000000e-01	6.367513660e-01
7.004400000e-01	6.367703395e-01
7.004800000e-01	6.367893109e-01
7.005200000e-01	6.368082800e-01
7.005600000e-01	6.368272469e-01
7.006000000e-01	6.368462116e-01
7.006400000e-01	6.368651740e-01
7.006800000e-01	6.368841343e-01
7.007200000e-01	6.369030923e-01
7.007600000e-01	6.369220481e-01
7.008000000e-01	6.369410017e-01
7.008400000e-01	6.369599531e-01
7.008800000e-01	6.369789023e-01
7.009200000e-01	6.369978493e-01
7.009600000e-01	6.370167941e-01
7.010000000e-01	6.370357366e-01
7.010400000e-01	6.370546769e-01
7.010800000e-01	6.370736151e-01
7.011200000e-01	6.370925510e-01
7.011600000e-01	6.371114847e-01
7.012000000e-01	6.371304162e-01
7.012400000e-01	6.371493455e-01
7.012800000e-01	6.371682726e-01
7.013200000e-01	6.371871975e-01
7.013600000e-01	6.372061201e-01
7.014000000e-01	6.372250406e-01
7.014400000e-01	6.372439589e-01
7.014800000e-01	6.372628749e-01
7.015200000e-01	6.372817888e-01
7.015600000e-01	6.373007004e-01
7.016000000e-01	6.373196098e-01
7.016400000e-01	6.373385171e-01
7.016800000e-01	6.373574221e-01
7.017200000e-01	6.373763249e-01
7.017600000e-01	6.373952255e-01
7.018000000e-01	6.374141239e-01
7.018400000e-01	6.374330202e-01
7.018800000e-01	6.374519142e-01
7.019200000e-01	6.374708060e-01
7.019600000e-01	6.374896956e-01
7.020000000e-01	6.375085830e-01
7.020400000e-01	6.375274682e-01
7.020800000e-01	6.375463512e-01
7.021200000e-01	6.375652320e-01
7.021600000e-01	6.375841107e-01
7.022000000e-01	6.376029871e-01
7.022400000e-01	6.376218613e-01
7.022800000e-01	6.376407333e-01
7.023200000e-01	6.376596031e-01
7.023600000e-01	6.376784707e-01
7.024000000e-01	6.376973362e-01
7.024400000e-01	6.377161994e-01
7.024800000e-01	6.377350604e-01
7.025200000e-01	6.377539193e-01
7.025600000e-01	6.377727759e-01
7.026000000e-01	6.377916304e-01
7.026400000e-01	6.378104826e-01
7.026800000e-01	6.378293327e-01
7.027200000e-01	6.378481806e-01
7.027600000e-01	6.378670263e-01
