N	x	y
0	0	0
1	2	1
2	1	2
3	2	1
4	2	1
5	0	2
6	3	1
7	0	1
8	-1	2
9	2	0
10	-1	2
11	0	3
12	-2	2
13	3	0
14	-3	2
15	-3	3
16	2	-1
17	1	3
18	3	-1
19	-3	3
20	-4	2
21	-4	2
22	-5	2
23	3	1
24	0	4
25	-4	1
26	3	-2
27	0	0
28	2	2
29	4	-1
30	4	-1
31	0	-1
32	-6	2
33	-1	3
34	3	-3
35	-1	4
36	5	-1
37	5	-1
38	3	-3
39	0	-1
40	3	2
41	0	5
42	5	0
43	-5	3
44	-6	2
45	3	-3
46	-5	4
47	6	-1
48	5	1
49	-6	2
50	-7	2
51	-1	4
52	0	-1
53	3	3
54	6	-2
55	-1	-1
56	-4	0
57	6	-2
58	-5	4
59	7	-2
60	8	-2
61	-3	4
62	-1	4
63	0	-2
64	-7	2
65	0	6
66	-4	0
67	6	0
68	3	4
69	-6	1
70	4	3
71	-3	5
72	-7	2
73	3	5
74	-8	2
75	-8	3
76	-9	3
77	-10	3
78	-2	-1
79	8	-2
80	-6	0
81	3	-3
82	-3	5
83	8	-3
84	3	6
85	-10	4
86	-11	4
87	-4	-1
88	9	-3
89	9	-3
90	-11	4
91	-1	6
92	3	-3
93	-1	7
94	-4	-2
95	3	6
96	4	5
97	5	2
98	9	-4
99	-8	3
100	6	1
101	-4	-3
102	6	-3
103	-10	5
104	-8	4
105	9	-5
106	-10	3
107	-1	8
108	-1	9
109	9	-6
110	-2	9
111	2	-2
112	-10	2
113	0	9
114	0	9
115	4	6
116	-11	2
117	10	-6
118	8	-1
119	-8	1
120	4	6
121	10	-6
122	5	6
123	-10	1
124	-3	9
125	-11	4
126	6	-4
127	-3	10
128	0	-3
129	-3	10
130	0	10
131	8	-1
132	-3	10
133	4	7
134	5	6
135	10	-3
136	-4	5
137	10	-5
138	-10	5
139	-4	-3
140	0	11
141	-11	2
142	-11	4
143	-5	-2
144	-6	-2
145	9	-6
146	-3	11
147	-4	-3
148	10	-6
149	11	-6
150	1	10
151	10	-5
152	-10	6
153	6	6
154	10	-3
155	-11	2
156	0	-4
157	-8	1
158	4	7
159	4	8
160	-3	-3
161	-11	2
162	9	-7
163	11	-3
164	-7	-2
165	0	-4
166	1	10
167	-4	11
168	1	11
169	4	9
170	3	-4
171	-3	12
172	2	11
173	4	10
174	6	6
175	8	-6
176	9	-8
177	2	12
178	10	-2
179	11	-7
180	-3	12
181	2	12
182	12	-3
183	-7	0
184	5	10
185	12	-6
186	-4	11
187	13	-6
188	13	-6
189	7	0
190	13	-3
191	7	6
192	-3	-4
193	13	-3
194	14	-6
195	8	-4
196	-10	6
197	5	11
198	14	-3
199	-4	12
200	0	12
201	-5	12
202	-12	4
203	14	-3
204	-5	13
205	4	5
206	-12	2
207	10	-1
208	-5	-3
209	-4	13
210	9	-8
211	14	-3
212	14	-3
213	-3	-5
214	-7	-3
215	13	-7
216	6	11
217	14	-7
218	8	-8
219	15	-6
220	-3	-6
221	-4	9
222	-5	14
223	8	-6
224	8	-9
225	14	-3
226	13	-8
227	-6	13
228	7	-8
229	-10	0
230	-12	2
231	7	11
232	-5	15
233	-5	16
234	-10	0
235	9	-9
236	8	-10
237	7	-9
238	-7	13
239	-8	13
240	-3	-6
241	-11	6
242	6	-8
243	-12	6
244	-4	16
245	-10	-1
246	-11	0
247	7	1
248	0	12
249	-3	16
250	6	12
251	-7	-3
252	-12	7
253	7	2
254	16	-6
255	0	13
256	15	-7
257	-13	6
258	-8	-3
259	7	5
260	7	7
261	-5	17
262	8	1
263	15	-3
264	-8	13
265	10	-1
266	12	-2
267	-5	17
268	16	-6
269	-14	6
270	2	12
271	-12	0
272	3	-5
273	7	11
274	-13	0
275	8	11
276	-13	4
277	-3	-6
278	0	-5
279	-15	6
280	-6	17
281	9	-10
282	-3	16
283	0	13
284	-15	6
285	7	8
286	-8	-4
287	-14	0
288	-4	-5
289	-16	6
290	-15	7
291	-12	-1
292	2	13
293	7	-9
294	-8	13
295	17	-6
296	-14	0
297	-7	17
298	18	-6
299	-7	17
300	10	-10
301	10	-11
302	17	-7
303	6	13
304	19	-6
305	17	-7
306	-8	17
307	-3	16
308	-8	18
309	16	-3
310	-14	0
311	10	-12
312	8	-11
313	0	13
314	-4	-6
315	2	14
316	-8	19
317	-17	6
318	-17	5
319	-12	8
320	-17	6
321	-12	9
322	-9	18
323	-16	7
324	19	-6
325	18	-7
326	-8	13
327	-14	5
328	16	-5
329	7	12
330	-12	9
331	12	-1
332	-12	9
333	20	-6
334	6	13
335	18	-8
336	18	-8
337	12	-1
338	8	5
339	-18	6
340	-18	5
341	-5	18
342	-18	7
343	17	-3
344	18	-3
