r	N(r)
1.000000000e+01	235
2.000000000e+01	928
3.000000000e+01	1741
4.000000000e+01	2837
5.000000000e+01	4488
6.000000000e+01	5886
7.000000000e+01	7416
8.000000000e+01	9284
9.000000000e+01	10848
1.000000000e+02	12161
1.100000000e+02	13687
1.200000000e+02	15460
1.300000000e+02	16700
1.400000000e+02	17893
1.500000000e+02	18770
1.600000000e+02	19229
1.700000000e+02	19687
1.800000000e+02	19879
1.900000000e+02	19997
2.000000000e+02	20000
2.100000000e+02	20000
2.200000000e+02	20000
2.300000000e+02	20000
2.400000000e+02	20000
2.500000000e+02	20000
