E=3.084400000e+01
x	y
-1.000000000e+00	0.000000000e+00
-9.998000000e-01	1.570852451e-03
-9.996000000e-01	3.141701026e-03
-9.994000000e-01	4.712541848e-03
-9.992000000e-01	6.283371042e-03
-9.990000000e-01	7.854184732e-03
-9.988000000e-01	9.424979042e-03
-9.986000000e-01	1.099575010e-02
-9.984000000e-01	1.256649402e-02
-9.982000000e-01	1.413720693e-02
-9.980000000e-01	1.570788496e-02
-9.978000000e-01	1.727852423e-02
-9.976000000e-01	1.884912086e-02
-9.974000000e-01	2.041967099e-02
-9.972000000e-01	2.199017072e-02
-9.970000000e-01	2.356061620e-02
-9.968000000e-01	2.513100354e-02
-9.966000000e-01	2.670132887e-02
-9.964000000e-01	2.827158831e-02
-9.962000000e-01	2.984177800e-02
-9.960000000e-01	3.141189404e-02
-9.958000000e-01	3.298193258e-02
-9.956000000e-01	3.455188974e-02
-9.954000000e-01	3.612176163e-02
-9.952000000e-01	3.769154440e-02
-9.950000000e-01	3.926123416e-02
-9.948000000e-01	4.083082704e-02
-9.946000000e-01	4.240031918e-02
-9.944000000e-01	4.396970668e-02
-9.942000000e-01	4.553898570e-02
-9.940000000e-01	4.710815234e-02
-9.938000000e-01	4.867720275e-02
-9.936000000e-01	5.024613304e-02
-9.934000000e-01	5.181493935e-02
-9.932000000e-01	5.338361780e-02
-9.930000000e-01	5.495216453e-02
-9.928000000e-01	5.652057566e-02
-9.926000000e-01	5.808884733e-02
-9.924000000e-01	5.965697566e-02
-9.922000000e-01	6.122495679e-02
-9.920000000e-01	6.279278685e-02
-9.918000000e-01	6.436046196e-02
-9.916000000e-01	6.592797826e-02
-9.914000000e-01	6.749533188e-02
-9.912000000e-01	6.906251896e-02
-9.910000000e-01	7.062953562e-02
-9.908000000e-01	7.219637801e-02
-9.906000000e-01	7.376304224e-02
-9.904000000e-01	7.532952447e-02
-9.902000000e-01	7.689582082e-02
-9.900000000e-01	7.846192743e-02
-9.898000000e-01	8.002784043e-02
-9.896000000e-01	8.159355596e-02
-9.894000000e-01	8.315907015e-02
-9.892000000e-01	8.472437915e-02
-9.890000000e-01	8.628947909e-02
-9.888000000e-01	8.785436611e-02
-9.886000000e-01	8.941903635e-02
-9.884000000e-01	9.098348595e-02
-9.882000000e-01	9.254771104e-02
-9.880000000e-01	9.411170776e-02
-9.878000000e-01	9.567547227e-02
-9.876000000e-01	9.723900069e-02
-9.874000000e-01	9.880228918e-02
-9.872000000e-01	1.003653339e-01
-9.870000000e-01	1.019281309e-01
-9.868000000e-01	1.034906764e-01
-9.866000000e-01	1.050529666e-01
-9.864000000e-01	1.066149975e-01
-9.862000000e-01	1.081767654e-01
-9.860000000e-01	1.097382663e-01
-9.858000000e-01	1.112994965e-01
-9.856000000e-01	1.128604520e-01
-9.854000000e-01	1.144211290e-01
-9.852000000e-01	1.159815237e-01
-9.850000000e-01	1.175416323e-01
-9.848000000e-01	1.191014507e-01
-9.846000000e-01	1.206609753e-01
-9.844000000e-01	1.222202022e-01
-9.842000000e-01	1.237791275e-01
-9.840000000e-01	1.253377473e-01
-9.838000000e-01	1.268960579e-01
